       weight      height
1          NA -0.14195874
2    66.61375  1.93396424
3          NA -0.15704000
4          NA  3.00564089
5    82.24196  2.07050676
6          NA  2.31864395
7    53.21464  0.78552228
8    98.03140          NA
9    89.49638  3.22467035
10   82.09330  0.03871932
11   91.74656  2.29403977
12   86.14455          NA
13   95.88244 -1.21969166
14   88.66662  1.61921460
15  105.97456  3.57504378
16   82.27783  1.53310491
17   73.19894  0.92010521
18  109.81884  0.66028463
19   72.47298          NA
20   91.99502  2.60353262
21   97.90775  1.46372061
22  109.65396  0.57154268
23  104.21255          NA
24         NA  2.70146604
25   66.21058  1.61411423
26         NA -0.21495846
27  113.00890  2.28329398
28   80.41750          NA
29   88.23678  0.59438794
30  100.92723  1.09670921
31   96.27807  1.82314247
32   70.57985  0.83419232
33   88.46898  0.98865944
34   60.20999  1.71210948
35         NA  2.51119870
36  103.32638  1.10656871
37   60.74870  1.24940785
38         NA  0.68107710
39   95.03012  2.37042528
40   83.37283  1.72760754
41   81.54948 -1.04002207
42   87.42401  0.34430675
43         NA  1.98533981
44  114.83158  0.68585674
45         NA  1.96260203
46   83.30185  0.56586189
47   63.44670  0.90763542
48   51.54497  0.36997821
49         NA  5.19366666
50   74.87665  1.86855264
51   96.66195  2.19454791
52   59.50230  2.35317032
53   83.48962 -0.78944546
54   66.90470          NA
55  104.61195  0.74611220
56   68.09687  4.62850719
57   81.07253  1.15570530
58   77.85260  0.93519123
59  107.08772  2.01727064
60   53.70630  0.78565806
61   45.41935  1.41638753
62   79.58283  1.74838250
63   84.21766  2.97785732
64   87.78751  1.42491385
65  110.50724  1.18243073
66   93.69434  2.92569916
67         NA  1.96338134
68   78.66800  1.95880370
69         NA  2.01013724
70   74.77390          NA
71   89.27953          NA
72   67.21475  1.19519201
73   68.50464  1.72824589
74   94.61080          NA
75   62.01960  1.13670727
76   69.43835  1.79487602
77  102.10052          NA
78  103.64965  1.85175003
79  104.55261  2.99937500
80         NA -0.37294835
81   90.37115  2.48799558
82  105.18436          NA
83   74.81672  2.42166225
84  103.12253  2.29476566
85   64.97942  1.47172948
86   90.90587  0.91762508
87   92.84105  1.41166248
88   82.97468          NA
89  102.70376          NA
90         NA  1.84334958
91  114.11755  1.88046176
92   97.54599  0.35615898
93   60.54879          NA
94   92.39708  2.47711725
95   84.76922  1.87118096
96  103.96647          NA
97   83.97786  2.55366018
98   73.54299  1.95948618
99   61.29221  3.50511375
100  86.37883  2.40398931
